feature,selected,ranking,importance
ew_sigma,True,1,0.980057071311001
ma24,False,37,
ma168,True,1,0.0029733205124493687
sma_20,False,27,
sma_50,False,29,
sma_100,False,6,
ema_5,False,30,
ema_12,False,19,
ema_26,False,28,
ema_50,False,38,
ema_100,True,1,0.0025471471243500073
bb_upper,False,33,
bb_middle,False,23,
bb_lower,False,14,
bb_width_20,False,3,
bb_percent_20,True,1,0.002578701113339056
adxr,False,5,
dx,False,11,
rsi_7,False,16,
rsi_14,False,31,
rsi_21,False,35,
stoch_k_5,False,10,
stoch_d_5,False,21,
stoch_k_14,False,4,
stoch_d_14,False,18,
uo,True,1,0.0027364807356985476
cmo_20,False,32,
atr_7,False,8,
atr_14,False,34,
atr_21,False,24,
stddev_20,False,13,
vix_proxy,True,1,0.0023979575275191053
macd,False,26,
macd_signal,True,1,0.003139883750723498
macd_hist,False,12,
plus_di,False,17,
minus_di,True,1,0.003569437924919538
aroon_osc_25,False,15,
sar,False,36,
trix,False,9,
price_sma20_ratio,False,22,
price_ema12_ratio,False,7,
price_momentum_5,False,2,
price_momentum_10,False,25,
price_momentum_24,False,20,
ema_crossover,False,39,
