,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,1970.6545691917377,2025-07-26 23:49:43.869292,2025-07-26 23:51:20.042937,0 days 00:01:36.173645,0.3,0.0001,0.999,COMPLETE
1,1,13399.487916769634,2025-07-26 23:51:20.044034,2025-07-26 23:52:54.972507,0 days 00:01:34.928473,0.3,0.0001,0.9,COMPLETE
2,2,9717.767194777298,2025-07-26 23:52:54.973253,2025-07-26 23:54:26.353229,0 days 00:01:31.379976,0.4,0.01,0.9,COMPLETE
3,3,10789.328136959239,2025-07-26 23:54:26.354266,2025-07-26 23:55:58.917216,0 days 00:01:32.562950,0.1,0.0001,0.99,COMPLETE
4,4,14487.964412052335,2025-07-26 23:55:58.917776,2025-07-26 23:57:40.704594,0 days 00:01:41.786818,0.2,0.0001,0.9,COMPLETE
5,5,14487.964412052335,2025-07-26 23:57:40.705301,2025-07-26 23:59:22.471916,0 days 00:01:41.766615,0.2,0.0001,0.9,COMPLETE
6,6,-1083.0226775367041,2025-07-26 23:59:22.472877,2025-07-27 00:00:35.754950,0 days 00:01:13.282073,0.4,0.0001,0.9999,COMPLETE
7,7,13574.860292892452,2025-07-27 00:00:35.755964,2025-07-27 00:01:47.191775,0 days 00:01:11.435811,0.1,1e-05,0.9999,COMPLETE
8,8,4792.143003633114,2025-07-27 00:01:47.192928,2025-07-27 00:03:17.261403,0 days 00:01:30.068475,0.2,1e-05,0.99,COMPLETE
9,9,14968.518355198263,2025-07-27 00:03:17.262337,2025-07-27 00:04:52.763254,0 days 00:01:35.500917,0.1,1e-05,0.9,COMPLETE
10,10,1970.6545691917377,2025-07-27 00:04:52.764012,2025-07-27 00:06:23.692409,0 days 00:01:30.928397,0.1,0.001,0.999,COMPLETE
11,11,1962.9195535645326,2025-07-27 00:06:23.693291,2025-07-27 00:08:04.536231,0 days 00:01:40.842940,0.2,1e-05,0.9,COMPLETE
12,12,12513.654022167717,2025-07-27 00:08:04.540372,2025-07-27 00:09:39.356538,0 days 00:01:34.816166,0.1,0.01,0.9,COMPLETE
13,13,1705.0473481350498,2025-07-27 00:09:39.359211,2025-07-27 00:11:13.027382,0 days 00:01:33.668171,0.2,0.001,0.9,COMPLETE
14,14,14968.518355198263,2025-07-27 00:11:13.028578,2025-07-27 00:12:46.117451,0 days 00:01:33.088873,0.1,1e-05,0.9,COMPLETE
15,15,14968.518355198263,2025-07-27 00:12:46.118361,2025-07-27 00:14:21.268782,0 days 00:01:35.150421,0.1,1e-05,0.9,COMPLETE
16,16,5304.0365826607385,2025-07-27 00:14:21.269842,2025-07-27 00:16:15.212550,0 days 00:01:53.942708,0.1,1e-05,0.99,COMPLETE
17,17,1970.6545691917377,2025-07-27 00:16:15.219439,2025-07-27 00:17:53.645783,0 days 00:01:38.426344,0.1,1e-05,0.999,COMPLETE
18,18,13574.860292892452,2025-07-27 00:17:53.649018,2025-07-27 00:19:04.750534,0 days 00:01:11.101516,0.1,1e-05,0.9999,COMPLETE
19,19,17015.80834175811,2025-07-27 00:19:04.751484,2025-07-27 00:20:35.880370,0 days 00:01:31.128886,0.4,1e-05,0.9,COMPLETE
